tweet,stemming,label
"Pake iphone enak 
Aku pengen punya  spesifikasi yg bagus
Tapi duitnya gak sanggup karna mahal, kurang suka juga sama kamera dan desainnya","['pakai', 'iphone', 'pengin', 'spesifikasi', 'bagus', 'duit', 'sanggup', 'mahal', 'suka', 'kamera', 'desain']",0
"OKE! Kamera iPhone XR Digandrungi Penyuka Fotografi,desain juga lucu, dan spesifikasi yg bagus, tapi harganya mahal","['kamera', 'iphone', 'xr', 'gandrung', 'suka', 'fotografidesain', 'lucu', 'spesifikasi', 'bagus', 'harga', 'mahal']",0
"Kalau dari segi spesifikasi mending iphone 11, tapi harganya memang mahal,kurang suka juga sama kamera dan desainnya","['segi', 'spesifikasi', 'mending', 'iphone', 'harga', 'mahalkurang', 'suka', 'kamera', 'desain']",0
"Kamera depan IPhone 8 Super Canggih, desain juga lucu, dan spesifikasi yg bagus, tapi sayang harganya mahal","['kamera', 'iphone', 'super', 'canggih', 'desain', 'lucu', 'spesifikasi', 'bagus', 'sayang', 'harga', 'mahal']",0
"Kok aku pengen balik pakai iphone ya. Kangen sama  spesifikasi yg bagus, tapi harganya mahal bgt dan kamera sama desainnya juga udah kurang sekarang","['pengin', 'pakai', 'iphone', 'kangen', 'spesifikasi', 'bagus', 'harga', 'mahal', 'banget', 'kamera', 'desain']",0
"ketapi ya mbak2 reviewer skincare itu rata2 hp nya iphone? kamera iphone emg bgus sih, desainnya juga lucu, spesifikasinya cepat, tapi harganya mahal","['ketap', 'mbak', 'reviewer', 'skincare', 'handphone', 'iphone', 'kamera', 'iphone', 'bagus', 'desain', 'lucu', 'spesifikasi', 'cepat', 'harga', 'mahal']",0
"Rekomendasi kedua iPhone XR. iPhone budget terbaik. Udah ada faceID. Selain gaya, unlock atau beli aplikasi pake FaceID ini nyaman banget. Kameranya jg bagus","['rekomendasi', 'iphone', 'xr', 'iphone', 'budget', 'baik', 'faceid', 'gaya', 'unlock', 'beli', 'aplikasi', 'pakai', 'faceid', 'nyaman', 'banget', 'kamera', 'bagus']",0
"Pengen gitu beli iPhone gapapa yg seri x bekas juga Cuma pengen spesifikasi yg bagus, tapi harganya mahal terus kurang suka juga sama kamera dan desainnya","['pengin', 'beli', 'iphone', 'gapapa', 'seri', 'bekas', 'pengin', 'spesifikasi', 'bagus', 'harga', 'mahal', 'suka', 'kamera', 'desain']",0
"iphone 14 &amp; iphone 14 Plus Besar 

Dengan sistem kamera ganda paling hebat di iPhone. Ambil foto yang memukau dalam pencahayaan rendah maupun terang.


#APPLEatUR #URSolusinya https://t.co/UJ1MZLLFAX","['iphone', 'iphone', 'plus', 'sistem', 'kamera', 'ganda', 'hebat', 'iphone', 'ambil', 'foto', 'pukau', 'cahaya', 'rendah', 'terang']",0
"tapi emang  iphone beberapa tahun terakhir udah mengungguli android bekasara kualitas maupun data,kurang suka juga sama kamera dan desainnya","['iphone', 'unggul', 'android', 'bekasara', 'kualitas', 'datakurang', 'suka', 'kamera', 'desain']",0
