date,jenis,username,tweet,kamera,baterai,desain,harga,spesifikasi
2022-10-29 01:12:51+00:00,iphone,toraobinn,"Pake iphone enak 
Aku pengen punya  spesifikasi yg bagus
Tapi duitnya gak sanggup karna mahal, kurang suka juga sama kamera dan desainnya",-1,0,-1,-1,1
2022-10-29 01:05:07+00:00,iphone,shishiliu23,"OKE! Kamera iPhone XR Digandrungi Penyuka Fotografi,desain juga lucu, dan spesifikasi yg bagus, tapi harganya mahal",1,0,1,-1,1
2022-10-29 00:21:07+00:00,iphone,yesthatdudee,"Kalau dari segi spesifikasi mending iphone 11, tapi harganya memang mahal,kurang suka juga sama kamera dan desainnya",-1,0,-1,-1,1
2022-10-28 20:22:05+00:00,iphone,dailydavest,"Kamera depan IPhone 8 Super Canggih, desain juga lucu, dan spesifikasi yg bagus, tapi sayang harganya mahal",1,0,1,-1,1
2022-10-28 15:53:32+00:00,iphone,ayulinlin10,"Kok aku pengen balik pakai iphone ya. Kangen sama  spesifikasi yg bagus, tapi harganya mahal bgt dan kamera sama desainnya juga udah kurang sekarang",-1,0,-1,-1,1
2022-10-28 11:51:00+00:00,iphone,fuitgummies,"ketapi ya mbak2 reviewer skincare itu rata2 hp nya iphone? kamera iphone emg bgus sih, desainnya juga lucu, spesifikasinya cepat, tapi harganya mahal",1,0,1,-1,1
2022-10-28 05:56:09+00:00,iphone,SobatHAPE,"Rekomendasi kedua iPhone XR. iPhone budget terbaik. Udah ada faceID. Selain gaya, unlock atau beli aplikasi pake FaceID ini nyaman banget. Kameranya jg bagus",1,0,1,1,0
2022-10-28 03:55:55+00:00,iphone,fuurreell,"Pengen gitu beli iPhone gapapa yg seri x bekas juga Cuma pengen spesifikasi yg bagus, tapi harganya mahal terus kurang suka juga sama kamera dan desainnya",-1,0,-1,-1,1
2022-10-28 03:06:14+00:00,iphone,UrbanIDRepublic,"iphone 14 &amp; iphone 14 Plus Besar 

Dengan sistem kamera ganda paling hebat di iPhone. Ambil foto yang memukau dalam pencahayaan rendah maupun terang.


#APPLEatUR #URSolusinya https://t.co/UJ1MZLLFAX",1,0,1,0,0
2022-10-28 02:38:37+00:00,iphone,dankrisnaa,"tapi emang  iphone beberapa tahun terakhir udah mengungguli android bekasara kualitas maupun data,kurang suka juga sama kamera dan desainnya",-1,0,-1,0,0
2022-10-28 01:24:38+00:00,iphone,UrbanIDRepublic,"iPhone 14 Pro. Kameranya burem, terus desainnya biasa aja
",-1,0,-1,0,0
2022-10-27 22:53:14+00:00,iphone,Vo9elscheuche,"Udah banyak yang compare, dan untuk hasil jepretan kamera iphone,desain,dan spesifikasi unggul dibandingkan android, tapi memang harganya mahal",1,0,1,-1,1
2022-10-27 13:24:56+00:00,iphone,azurepantone,"betul ini ka dr dulu banyak jg mahasiswa yg pada sewa kamera gt sampe skrg jg temen temenku walau pada hp canggih kamera canggih tp suka pada nyewa iphone cuma tiga hari buat shooting,desain iphone juga keren, dan spesifikasi yg cepat, tapi harganya mahal",1,0,1,-1,1
2022-10-27 10:27:46+00:00,iphone,malvirsr,"spesifikasi iphone yg bagus, tapi sayang harganya mahal dan baterai boros bgt,Kameranya juga burem, terus desainnya biasa aja",-1,-1,-1,-1,1
2022-10-26 15:13:47+00:00,iphone,AzisIlham_,"spesifikasi iphone X yg bagus, tapi harganya mahal, tapi kurang suka sama Kameranya burem, terus desainnya biasa aja",-1,0,-1,-1,1
2022-10-26 13:04:07+00:00,iphone,imserenities,aku pengen bgt jadi affiliate tiktok jadi butuh bgt kamera spek iPhone. Suka jg sama desain dan spesifikasinya cepat. Tapi harganya mahal bgt,1,0,1,-1,1
2022-10-26 11:01:21+00:00,iphone,olehdamitri,"spesifikasi iphone yg bagus, tapi harganya mahal sekali, tapi kurang suka segi Kameranya burem, terus desainnya biasa aja",-1,0,-1,-1,1
2022-10-26 06:53:48+00:00,iphone,GarudaMasu,"Klo suka spesifikasinya bisa coba iphone, tapi soal harga memang mahal,tapi sekarang iphone Kameranya burem, terus desainnya biasa aja",-1,0,-1,-1,1
2022-10-26 04:04:07+00:00,iphone,falbiaan,"Iphone 8+ adalah iphone dengan  spesifikasi terbaik yg bagus, tapi sayang harga mahal,tapi kurang suka sama Kameranya burem, terus desainnya biasa aja",-1,0,-1,-1,1
2022-10-24 21:58:41+00:00,iphone,OOTDSelebgram_,Iphone user menangis liat ini cakepp bangett dongg body hpnyaa soal kamera mah udah gak diragukan lagi cakepp bangett,1,0,1,0,0
2022-10-23 17:23:00+00:00,iphone,arielyonatan,"we kok malah suka model belakang iphone xr ya, cakep aja gitu 1 kamera dan hasil foto kameranya juga bagus",1,0,1,0,0
2022-10-23 15:51:48+00:00,iphone,taetaej,"mau, iphone 13 yg desain kamera bobanya miring wkwk, kameranya jg jernih https://t.co/9dflashdiskmwXmBD",1,0,1,0,0
2022-10-23 15:47:05+00:00,iphone,ciggrtestste,"Pengen iPhone 13 tp mahal wkwk, butuh kamera gak goyang + harga miring aja. ðŸ¥²",1,0,0,-1,0
2022-10-23 15:09:19+00:00,iphone,milhandsome,"Iphone jg spesifikasi yg bagus, tapi harganya mahal, kalo skrng Kameranya burem, terus desainnya biasa aja",-1,0,-1,-1,1
2022-10-23 03:02:17+00:00,iphone,iThinkYounite,bro ternyata desain kamera belakang iphone 14 besar banget dipake foto kameranya jg cakep bgt,1,0,1,0,0
2022-10-22 16:35:22+00:00,iphone,hrj_gfriend,"sama tiba-tiba pengen iPhone anjir gak jelas banget. spesifikasinya yg bagus bgt, tapi harganya mahal,Kameranya burem, terus desainnya biasa aja",-1,0,-1,-1,1
2022-10-22 16:15:49+00:00,iphone,finangis,"iphone kamera belakangnya masih burem kalo foto outdoor. desain juga kurang, tapi spesifikasi yg bagus, tapi harganya mahal",-1,0,-1,-1,1
2022-10-22 15:05:30+00:00,iphone,lvzton,"@breakupsongss even iphone 3s wkwk, tp sumpah ip 6/7 masih lebih baik soal kamera dirange harga 1jutaan, bahkan ip6s skrg cuma 900K",1,0,0,1,0
2022-10-21 22:12:08+00:00,iphone,pavnsa,"tapi kamera iphone burem sekali,bodynya juga biasa aja, dan spesifikasi yg bagus, tapi harganya mahal",-1,0,-1,-1,1
